MatrixName,Size,MemoryPre,MemoryPost,MemoryDiff,Time,Error
ex15.mat,568315,3438305280,3450761216,12455936,0.0845895,8.57356726779029e-07
cfd2.mat,23748539,3495981056,6194827264,2698846208,9.0703464,8.91728491115476e-13
cfd1.mat,14503159,3477811200,4854243328,1376432128,11.0431726,3.47711357829352e-13
shallow_water1.mat,2316415,3445641216,3880787968,435146752,15.5276465,3.19850034354161e-16
