MatrixName,Size,MemoryPre,MemoryPost,MemoryDiff,Time,Error
cfd1.mat,14503159,25253680,1012345360,987091680,81.233,4.525125569752032E-11
cfd2.mat,23748539,40562152,1968096520,1927534368,92.433,2.1927722216622213E-11
ex15.mat,568315,3532496,9832928,6300432,0.01,8.007992883722316E-7
shallow_water1.mat,2316415,8941408,301825104,292883696,8.123,2.9863681564206695E-16
