MatrixName,Size,MemoryPre,MemoryPost,MemoryDiff,Time,Error
ex15.mat,1633696,3612917760,3618086912,5169152,0.0427848,8.57356726779029e-07
cfd2.mat,50354024,3663306752,6363906048,2700599296,7.4757804,8.91728491115476e-13
cfd1.mat,29774536,3643060224,5014982656,1371922432,2.5218277,3.47711357829352e-13
shallow_water1,5898248,3622969344,4045864960,422895616,5.1092318,3.19850034354161e-16
