MatrixName,Size,MemoryPre,MemoryPost,MemoryDiff,Time,Error
shallow_water1.mat,2316415,11589584,303874320,292284736,8.422,2.9863681564206695E-16
cfd2.mat,23748539,42212008,1969734192,1927522184,127.033,2.1927722216622213E-11
cfd1.mat,14503159,27319592,1013721424,986401832,84.597,4.525125569752032E-11
ex15.mat,568315,5180328,11212592,6032264,0.009,8.007992883722316E-7
